[2025-05-25 18:41:10.810] [info]  DiscordSplash.signalReady
[2025-05-25 18:41:10.994] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-25 18:41:10.994] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-05-25 18:41:10.996] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-25 18:41:10.996] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-05-25 18:41:10.996] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-25 18:41:10.996] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-05-25 18:41:10.996] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-25 18:41:10.997] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-05-25 18:41:10.997] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-25 18:41:10.997] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-05-25 18:41:10.997] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-25 18:41:10.997] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-05-25 18:41:10.997] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-25 18:41:10.998] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-05-25 18:41:11.354] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-25 18:41:11.354] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-05-25 18:41:11.810] [info]  Splash.updateCountdownSeconds: undefined
[2025-05-25 18:41:12.076] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-05-25 18:41:12.076] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-05-25 18:41:12.104] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-05-25 18:41:12.104] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-05-25 18:41:12.180] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-05-25 18:41:12.180] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-05-25 18:41:12.202] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-05-25 18:41:12.202] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
